Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,6.812500,6.830500,6.657000,6.695000,6.695000,151998000
2010-01-05,6.671500,6.774000,6.590500,6.734500,6.734500,177038000
2010-01-06,6.730000,6.736500,6.582500,6.612500,6.612500,143576000
2010-01-07,6.600500,6.616000,6.440000,6.500000,6.500000,220604000
2010-01-08,6.528000,6.684000,6.451500,6.676000,6.676000,196610000
2010-01-11,6.631000,6.640000,6.460500,6.515500,6.515500,175588000
2010-01-12,6.449500,6.491000,6.327500,6.367500,6.367500,181926000
2010-01-13,6.395000,6.485500,6.287500,6.455500,6.455500,214464000
2010-01-14,6.457000,6.519000,6.320000,6.367500,6.367500,195498000
2010-01-15,6.459000,6.482500,6.353000,6.357000,6.357000,307530000
2010-01-19,6.315500,6.400000,6.216500,6.380500,6.380500,177852000
2010-01-20,6.356500,6.460000,6.254000,6.289000,6.289000,181494000
2010-01-21,6.363000,6.407500,6.250000,6.331000,6.331000,199412000
2010-01-22,6.280000,6.383500,6.038000,6.071500,6.071500,231378000
2010-01-25,6.105000,6.114000,5.906000,6.015500,6.015500,240478000
2010-01-26,6.028000,6.149000,5.953000,5.974000,5.974000,191180000
2010-01-27,6.051500,6.166500,5.940000,6.137500,6.137500,295306000
2010-01-28,6.221500,6.360000,6.140000,6.301500,6.301500,545862000
2010-01-29,6.488500,6.592500,6.207000,6.270500,6.270500,589426000
2010-02-01,6.159000,6.243000,5.691000,5.943500,5.943500,755488000
2010-02-02,5.939500,5.949000,5.720000,5.906000,5.906000,461594000
2010-02-03,5.856000,5.980500,5.828000,5.955000,5.955000,248118000
2010-02-04,5.932000,6.016500,5.787000,5.797000,5.797000,255680000
2010-02-05,5.794000,5.882500,5.705000,5.869500,5.869500,220496000
2010-02-08,5.969000,6.050000,5.828000,5.841500,5.841500,197804000
2010-02-09,5.910000,5.954500,5.850000,5.901500,5.901500,184460000
2010-02-10,5.900000,5.930500,5.800000,5.868000,5.868000,124664000
2010-02-11,5.860500,6.021000,5.825000,6.004500,6.004500,166870000
2010-02-12,5.949500,5.997000,5.875000,5.983000,5.983000,161470000
2010-02-16,6.003000,6.025000,5.859000,5.876500,5.876500,178654000
2010-02-17,5.853500,5.856500,5.777500,5.815500,5.815500,178896000
2010-02-18,5.792000,5.925500,5.741000,5.904000,5.904000,196002000
2010-02-19,5.895500,5.954500,5.850000,5.876000,5.876000,142312000
2010-02-22,5.868500,5.948500,5.809000,5.900500,5.900500,136146000
2010-02-23,5.900500,5.962500,5.825500,5.862000,5.862000,141364000
2010-02-24,5.898000,5.990000,5.857500,5.986000,5.986000,147798000
2010-02-25,5.908500,5.917000,5.792500,5.910000,5.910000,190668000
2010-02-26,5.894000,5.971500,5.850000,5.920000,5.920000,114432000
2010-03-01,5.935000,6.233000,5.876500,6.227000,6.227000,265930000
2010-03-02,6.250500,6.367500,6.240000,6.276500,6.276500,241950000
2010-03-03,6.270000,6.347000,6.221500,6.294500,6.294500,128808000
2010-03-04,6.299000,6.442500,6.278500,6.426500,6.426500,150194000
2010-03-05,6.456500,6.472500,6.353500,6.445500,6.445500,135386000
2010-03-08,6.415000,6.542500,6.385500,6.505500,6.505500,112118000
2010-03-09,6.479500,6.540500,6.398500,6.441000,6.441000,121416000
2010-03-10,6.455500,6.558500,6.424000,6.525500,6.525500,112514000
2010-03-11,6.522500,6.681000,6.518000,6.679000,6.679000,144816000
2010-03-12,6.710000,6.710000,6.559000,6.591000,6.591000,123016000
2010-03-15,6.585000,6.600000,6.431500,6.556500,6.556500,126584000
2010-03-16,6.562000,6.614500,6.525000,6.589500,6.589500,82650000
2010-03-17,6.620500,6.634500,6.561000,6.567000,6.567000,87176000
2010-03-18,6.551000,6.642500,6.522000,6.638000,6.638000,100426000
2010-03-19,6.685500,6.685500,6.483000,6.517500,6.517500,178100000
2010-03-22,6.510000,6.548000,6.432000,6.523500,6.523500,107668000
2010-03-23,6.544500,6.547000,6.403500,6.463000,6.463000,84262000
2010-03-24,6.432000,6.470000,6.360000,6.402000,6.402000,93928000
2010-03-25,6.457000,6.845500,6.402000,6.736500,6.736500,324192000
2010-03-26,6.745000,6.849500,6.688000,6.753000,6.753000,131314000
2010-03-29,6.768500,6.831500,6.716500,6.756000,6.756000,92538000
